paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
201,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
217,20,906,3,2,3,3,0,PolicySalience=2[模式]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=906
218,20,904,3,3,3,0,0,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
219,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[敌对势力]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
220,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
221,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
222,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
223,40,901,3,2,0,0,0,PolicySalience=2[完善]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
224,20,904,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
225,40,901,3,0,3,0,0,PolicySalience=0; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
226,20,901,2,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
227,20,904,3,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
228,40,901,3,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
229,20,904,3,1,3,3,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
230,10,909,1,1,3,3,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
231,10,909,1,3,3,3,0,PolicySalience=3[条例]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=3[国家秘密]; DataAccess=0; MT=10; MY=1; MF9=909
232,20,904,3,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
233,20,901,2,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[军队]; SecrecyConstraint=0; DataAccess=2[问卷]; MT=20; MY=2; MF9=901
234,40,901,3,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
235,20,904,3,1,3,0,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[南海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
236,20,906,3,0,3,0,2,PolicySalience=0; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=2[内容分析]; MT=20; MY=3; MF9=906
237,10,909,1,2,2,0,0,PolicySalience=2[对策]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
238,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
239,20,902,2,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=902
240,40,901,3,1,0,0,0,PolicySalience=1[政策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
241,20,902,2,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=902
242,20,904,3,3,3,0,1,PolicySalience=3[条款]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=1[法理]; MT=20; MY=3; MF9=904
243,20,904,3,3,0,0,0,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
244,20,904,3,1,0,0,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
245,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
246,40,901,3,2,0,1,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=1[统计年鉴]; DataAccess=0; MT=40; MY=3; MF9=901
247,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
248,20,901,2,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
249,40,907,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=3[作战]; DataAccess=0; MT=40; MY=3; MF9=907
250,20,901,2,3,3,0,2,PolicySalience=3[程序]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=2; MF9=901
251,40,901,3,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
252,20,901,2,2,3,3,2,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=2[样本]; MT=20; MY=2; MF9=901
253,20,904,3,1,0,0,0,PolicySalience=1[政策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
254,20,901,2,1,3,0,3,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=2; MF9=901
255,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
256,20,904,3,3,3,0,0,PolicySalience=3[条款]; PoliticalSensitivity=3[反恐怖]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
257,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
258,40,907,3,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=907
259,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
260,40,901,3,3,3,3,0,PolicySalience=3[条例]; PoliticalSensitivity=3[机密]; SecrecyConstraint=3[机密]; DataAccess=0; MT=40; MY=3; MF9=901
261,40,901,3,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
262,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
263,20,904,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
264,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
265,40,901,3,3,3,0,0,PolicySalience=3[清单]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
266,20,906,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
267,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
268,20,904,3,1,3,3,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
269,20,904,3,1,3,0,0,PolicySalience=1[战略]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
270,20,904,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
271,20,904,3,2,0,0,3,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[RCT]; MT=20; MY=3; MF9=904
272,20,904,3,1,3,0,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
273,40,901,3,0,3,0,0,PolicySalience=0; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
274,30,903,5,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
275,40,901,3,3,0,1,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=40; MY=3; MF9=901
276,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
277,10,909,1,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=10; MY=1; MF9=909
278,20,906,3,3,0,0,0,PolicySalience=3[标准]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
279,10,909,1,3,3,0,0,PolicySalience=3[责任制]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
280,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
281,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
282,20,906,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=906
283,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[台海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
284,20,906,3,3,0,0,0,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
285,10,909,1,3,3,3,0,PolicySalience=3[条例]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
286,30,902,5,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=902
287,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
288,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
289,20,906,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
290,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
291,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
292,20,904,3,3,3,0,0,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
293,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
294,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
295,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
296,20,906,4,3,3,0,0,PolicySalience=3[条例]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=906
297,20,904,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
298,10,908,1,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=10; MY=1; MF9=908
299,30,903,5,3,2,0,2,PolicySalience=3[规范]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=2[样本]; MT=30; MY=5; MF9=903
300,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
301,20,906,4,3,0,0,2,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[问卷]; MT=20; MY=4; MF9=906
302,20,906,4,3,0,0,2,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[问卷]; MT=20; MY=4; MF9=906
303,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
304,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
305,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
306,20,902,2,3,3,0,3,PolicySalience=3[通报]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
307,20,904,4,3,3,0,3,PolicySalience=3[规范]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=0; DataAccess=3[随机]; MT=20; MY=4; MF9=904
308,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
309,20,904,3,3,3,3,0,PolicySalience=3[规定]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
310,20,906,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
311,20,906,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
312,20,906,3,3,0,0,0,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
313,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
314,10,909,1,3,3,0,0,PolicySalience=3[条款]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
315,20,904,3,3,0,0,1,PolicySalience=3[清单]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
316,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
317,20,906,3,3,3,1,1,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=1[统计年鉴]; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
318,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[制裁]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
319,30,903,5,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=30; MY=5; MF9=903
320,20,904,3,1,0,0,0,PolicySalience=1[政策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
321,20,906,3,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
322,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
323,20,906,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
324,40,901,3,3,3,0,0,PolicySalience=3[办法]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
325,40,901,3,2,3,1,2,PolicySalience=2[对策]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=1[新闻]; DataAccess=2[二手数据]; MT=40; MY=3; MF9=901
326,40,901,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[作战]; DataAccess=0; MT=40; MY=3; MF9=901
327,20,904,3,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=3; MF9=904
328,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
329,20,901,2,2,3,0,3,PolicySalience=2[模式]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=2; MF9=901
330,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
331,20,904,3,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
332,20,904,4,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
333,20,906,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
334,20,906,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=20; MY=3; MF9=906
335,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
336,30,903,5,3,3,0,1,PolicySalience=3[规定]; PoliticalSensitivity=3[涉疆]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=30; MY=5; MF9=903
337,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=3[国家秘密]; DataAccess=0; MT=20; MY=3; MF9=904
338,20,904,3,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
339,20,906,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=20; MY=3; MF9=906
340,20,904,4,2,0,0,3,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=4; MF9=904
341,10,909,1,3,3,0,0,PolicySalience=3[条款]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
342,30,903,5,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
343,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
344,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
345,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
346,10,908,1,1,0,0,0,PolicySalience=1[战略]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
347,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
348,40,901,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
349,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
350,20,904,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
351,20,904,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
352,20,904,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
353,20,904,3,2,3,0,1,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=904
354,30,903,5,3,3,3,0,PolicySalience=3[操作化]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=30; MY=5; MF9=903
355,10,909,1,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
356,20,904,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
357,20,904,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
358,40,901,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
359,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
360,40,901,3,3,3,3,0,PolicySalience=3[条例]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
361,10,908,1,2,3,0,1,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=1[法理]; MT=10; MY=1; MF9=908
362,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
363,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
364,40,901,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
