paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,MethodNormativity,MethodTransparency,ObjectiveFit,TheoryFit,DecisionCoupling,Acceptance,coder_notes
1,20,102,3,2,3,0,2,,1,,,,,PS=2[对策]; Pol=3[国防]; Sec=0; DA=2[编码\b]
24,20,102,3,3,3,0,1,2,1,,,,,PS=3[规范]; Pol=3[对抗]; Sec=0; DA=1[文献综述]
25,20,102,3,3,3,0,0,2,,,,,,PS=3[立法]; Pol=3[社会稳定]; Sec=0; DA=0
26,20,102,3,3,0,0,0,2,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
27,20,102,3,2,3,0,0,2,,,,,,PS=2[框架]; Pol=3[核]; Sec=0; DA=0
28,20,102,3,3,3,0,0,2,1,,,,,PS=3[规范]; Pol=3[台海]; Sec=0; DA=0
29,20,102,3,2,3,3,0,2,1,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=0
30,20,102,3,3,3,0,0,2,2,,,,,PS=3[规范]; Pol=3[反恐怖]; Sec=0; DA=0
31,20,102,3,3,0,0,1,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=1[哲学]
32,20,102,3,2,3,0,0,2,1,,,,,PS=2[框架]; Pol=3[核]; Sec=0; DA=0
33,20,102,3,3,2,0,2,2,,,,,,PS=3[执法]; Pol=2[网络安全]; Sec=0; DA=2[案例研究]
34,20,102,3,3,3,3,1,,1,,,,,PS=3[办法]; Pol=3[军事]; Sec=3[军事]; DA=1[法理]
35,20,102,3,3,0,0,0,2,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
36,20,102,3,2,3,3,1,2,1,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=1[理论分析]
37,20,102,3,2,3,0,0,2,1,,,,,PS=2[路径]; Pol=3[颜色革命]; Sec=0; DA=0
38,20,102,3,2,3,3,0,2,1,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=0
39,20,102,3,1,3,3,0,2,2,,,,,PS=1[政策]; Pol=3[军事]; Sec=3[军事]; DA=0
40,20,102,3,3,0,0,1,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=1[哲学]
41,20,101,3,3,2,2,0,2,2,,,,,PS=3[流程]; Pol=2[网络安全]; Sec=2[未公开]; DA=0
42,20,102,3,2,0,0,0,2,2,,,,,PS=2[框架]; Pol=0; Sec=0; DA=0
43,20,102,3,2,3,3,1,2,,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=1[理论分析]
44,20,,3,3,3,0,0,2,1,,,,,PS=3[规范]; Pol=3[网络主权]; Sec=0; DA=0
45,20,102,3,1,3,3,0,2,1,,,,,PS=1[政策]; Pol=3[军事]; Sec=3[军事]; DA=0
46,20,,3,3,0,0,0,2,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
47,20,102,3,3,3,3,0,2,1,,,,,PS=3[责任制]; Pol=3[军事]; Sec=3[军事]; DA=0
48,20,102,3,3,3,3,2,2,2,,,,,PS=3[规范]; Pol=3[军事]; Sec=3[军事]; DA=2[案例研究]
49,20,102,3,3,3,0,3,2,2,,,,,PS=3[指标体系]; Pol=3[颜色革命]; Sec=0; DA=3[实验]
50,20,102,3,3,0,0,1,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=1[理论分析]
51,20,,3,3,3,0,3,2,2,,,,,PS=3[立法]; Pol=3[反间谍]; Sec=0; DA=3[数据库]
52,20,102,3,1,3,0,0,2,2,,,,,PS=1[总体国家安全观]; Pol=3[核]; Sec=0; DA=0
53,20,,3,3,3,0,0,2,2,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=0
54,20,102,3,3,3,1,0,,2,,,,,PS=3[规范]; Pol=3[国防]; Sec=1[新闻]; DA=0
55,20,,3,3,0,0,0,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
56,20,102,3,3,0,0,2,2,,,,,,PS=3[条款]; Pol=0; Sec=0; DA=2[案例研究]
57,20,102,3,2,3,0,0,2,,,,,,PS=2[路径]; Pol=3[制裁]; Sec=0; DA=0
58,20,102,3,3,3,3,0,2,2,,,,,PS=3[规范]; Pol=3[国防]; Sec=3[作战]; DA=0
59,20,102,3,3,3,3,0,2,2,,,,,PS=3[规范]; Pol=3[军事]; Sec=3[军事]; DA=0
60,20,102,3,3,3,3,0,2,,,,,,PS=3[规范]; Pol=3[军事]; Sec=3[军事]; DA=0
61,20,,3,3,3,0,0,2,2,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=0
62,20,102,3,3,3,0,1,2,1,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=1[思辨]
63,20,199,,3,0,0,0,,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
64,20,199,,3,3,0,0,,2,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=0
65,20,102,3,3,0,0,0,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
66,20,,3,3,0,0,0,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
67,20,101,3,3,2,0,0,2,1,,,,,PS=3[规范]; Pol=2[公共安全]; Sec=0; DA=0
68,20,102,3,3,0,0,0,2,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
69,20,102,,3,0,0,0,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
70,20,,,3,3,3,3,2,2,,,,,PS=3[规范]; Pol=3[军事]; Sec=3[军事]; DA=3[数据库]
71,20,,,3,3,0,0,2,2,,,,,PS=3[规范]; Pol=3[制裁]; Sec=0; DA=0
72,,107,,3,2,0,0,2,2,,,,,PS=3[规范]; Pol=2[网络安全]; Sec=0; DA=0
73,,107,2,3,2,1,0,2,2,,,,,PS=3[规范]; Pol=2[网络安全]; Sec=1[白皮书]; DA=0
74,,107,2,3,3,0,0,2,2,,,,,PS=3[规范]; Pol=3[情报]; Sec=0; DA=0
75,30,107,,2,3,0,0,2,1,,,,,PS=2[框架]; Pol=3[核]; Sec=0; DA=0
76,,107,2,3,0,0,0,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
77,,107,2,2,3,3,0,2,2,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=0
78,20,102,3,2,3,3,0,2,1,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=0
79,20,103,3,3,0,0,1,2,2,,,,,PS=3[规范]; Pol=0; Sec=0; DA=1[哲学]
80,20,102,3,3,3,0,1,,1,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=1[文献综述]
