paper_id,year,topic,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
1,2022,3,40,901,3,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[编码\b]; MT=40; MY=3; MF9=901
15,2022,2,20,902,4,2,3,0,1,PolicySalience=2[路径]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[话语分析]; MT=20; MY=4; MF9=902
16,2022,2,30,903,5,0,0,0,3,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[面板数据]; MT=30; MY=5; MF9=903
17,2022,4,20,904,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
18,2022,1,30,903,5,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
19,2022,3,40,901,3,3,3,0,3,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=40; MY=3; MF9=901
20,2022,3,20,902,2,3,0,0,3,PolicySalience=3[条例]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
21,2022,3,20,906,3,3,3,3,0,PolicySalience=3[规定]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=906
22,2022,3,20,902,4,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=4; MF9=902
23,2022,3,30,903,5,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[边境]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
24,2022,2,20,904,4,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=4; MF9=904
25,2022,1,20,904,3,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
26,2022,1,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
27,2022,1,10,909,1,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
28,2022,1,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[台海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
29,2022,1,20,904,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
30,2023,1,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[反恐怖]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
31,2023,1,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=30; MY=5; MF9=903
32,2023,1,10,909,1,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
33,2023,1,30,903,5,3,2,0,2,PolicySalience=3[执法]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=30; MY=5; MF9=903
34,2023,2,20,902,4,3,3,3,1,PolicySalience=3[办法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[法理]; MT=20; MY=4; MF9=902
35,2023,2,40,901,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
36,2023,2,20,904,4,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=4; MF9=904
37,2023,2,40,901,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
38,2023,3,10,909,1,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
39,2023,3,20,904,3,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
40,2023,2,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
41,2023,3,30,903,5,3,2,2,0,PolicySalience=3[流程]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=2[未公开]; DataAccess=0; MT=30; MY=5; MF9=903
42,2023,1,10,909,1,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
43,2023,2,20,904,3,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=3; MF9=904
44,2023,1,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[网络主权]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
45,2023,2,10,909,1,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
46,2024,2,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
47,2024,1,10,908,1,3,3,3,0,PolicySalience=3[责任制]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=908
48,2024,2,20,904,3,3,3,3,2,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
49,2024,2,20,902,4,3,3,0,3,PolicySalience=3[指标体系]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=4; MF9=902
50,2024,2,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=30; MY=5; MF9=903
51,2024,1,20,904,3,3,3,0,3,PolicySalience=3[立法]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
52,2024,1,20,904,3,1,3,0,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
53,2024,2,20,904,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
54,2024,3,30,903,5,3,3,1,0,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=1[新闻]; DataAccess=0; MT=30; MY=5; MF9=903
55,2024,2,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
56,2024,2,20,904,3,3,0,0,2,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
57,2024,2,10,909,1,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[制裁]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
58,2024,3,10,909,1,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=3[作战]; DataAccess=0; MT=10; MY=1; MF9=909
59,2024,2,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
60,2024,2,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
61,2024,2,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
62,2024,1,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=20; MY=3; MF9=904
63,2024,2,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
64,2024,1,20,906,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=906
65,2024,1,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
66,2024,1,20,906,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
67,2024,1,20,906,3,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
68,2024,1,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
69,2024,1,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
70,2024,3,40,908,3,3,3,3,3,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=40; MY=3; MF9=908
71,2024,3,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[制裁]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
72,2024,1,20,906,3,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
73,2024,3,20,905,3,3,2,1,0,PolicySalience=3[规范]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=905
74,2024,3,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
75,2024,3,20,904,4,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
76,2024,3,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
77,2024,3,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
78,2024,3,20,904,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
79,2024,1,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
80,2024,1,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
81,2024,1,20,904,3,3,3,3,3,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
82,2024,1,20,904,3,3,3,3,3,PolicySalience=3[立法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
83,2024,3,20,901,2,3,3,0,0,PolicySalience=3[办法]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
84,2024,3,30,903,5,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
85,2025,3,10,909,1,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
86,2025,2,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
87,2025,1,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
88,2025,3,30,902,5,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=902
89,2025,3,30,903,5,3,3,0,1,PolicySalience=3[条例]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
90,2025,2,40,901,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
91,2025,1,10,908,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
92,2025,1,40,901,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
93,2025,1,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
94,2025,2,20,904,4,3,0,0,2,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=4; MF9=904
95,2025,1,20,904,3,3,3,0,1,PolicySalience=3[立法]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
96,2025,1,20,904,3,3,3,0,1,PolicySalience=3[程序]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=20; MY=3; MF9=904
97,2025,1,10,907,1,3,0,1,0,PolicySalience=3[指标体系]; PoliticalSensitivity=0; SecrecyConstraint=1[新闻]; DataAccess=0; MT=10; MY=1; MF9=907
98,2025,3,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
99,2025,2,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
100,2025,2,10,905,1,3,0,1,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=10; MY=1; MF9=905
101,2025,2,20,904,3,2,0,1,1,PolicySalience=2[模式]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
102,2025,2,20,904,3,3,3,1,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=904
103,2025,1,10,909,1,1,3,3,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
104,2025,1,20,904,3,2,3,1,0,PolicySalience=2[优化]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=904
105,2025,1,40,901,3,3,3,1,0,PolicySalience=3[规定]; PoliticalSensitivity=3[核]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=40; MY=3; MF9=901
106,1999,3,40,907,3,3,0,0,0,PolicySalience=3[办法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=907
107,1999,3,40,901,3,3,3,3,0,PolicySalience=3[程序]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
108,1999,3,10,909,1,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
109,1999,2,10,909,1,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
110,2000,1,20,901,2,3,3,3,0,PolicySalience=3[办法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
111,2000,2,20,902,2,1,0,0,0,PolicySalience=1[政策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=902
112,2000,2,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
113,2000,3,10,907,1,3,0,0,0,PolicySalience=3[指标体系]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=907
114,2000,1,10,909,1,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
115,2001,3,20,901,2,3,3,3,0,PolicySalience=3[标准]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
116,2001,2,10,909,1,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
117,2001,1,10,909,1,0,0,0,1,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=10; MY=1; MF9=909
118,2001,1,10,909,1,1,0,3,0,PolicySalience=1[原则]; PoliticalSensitivity=0; SecrecyConstraint=3[作战]; DataAccess=0; MT=10; MY=1; MF9=909
119,2001,2,20,904,3,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
120,2001,1,20,904,3,0,3,3,0,PolicySalience=0; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
121,2002,3,40,901,3,3,0,0,0,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
122,2002,1,10,909,1,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
123,2002,2,40,901,3,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
124,2006,2,20,904,4,2,3,3,0,PolicySalience=2[完善]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=4; MF9=904
125,2006,3,10,909,1,2,0,0,0,PolicySalience=2[模式]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
126,2006,3,40,901,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
127,2006,1,40,901,3,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
128,2006,2,40,907,3,3,3,3,0,PolicySalience=3[条款]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=907
129,2006,3,40,901,3,3,3,0,0,PolicySalience=3[条例]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
130,2006,3,40,901,3,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
131,2006,1,20,901,2,3,3,3,0,PolicySalience=3[执法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
132,2006,2,10,909,1,2,3,0,0,PolicySalience=2[模式]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
133,2006,2,40,901,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
134,2007,2,10,909,1,2,3,0,0,PolicySalience=2[完善]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
135,2007,3,10,909,1,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
136,2007,3,10,909,1,1,3,0,0,PolicySalience=1[理念]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
137,2007,3,10,909,1,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
138,2007,1,10,909,1,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
139,2007,2,20,901,2,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
140,2007,3,10,909,1,2,3,0,0,PolicySalience=2[完善]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
141,2007,1,10,909,1,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
142,2007,3,40,901,3,3,3,0,0,PolicySalience=3[条例]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
143,2007,3,20,904,3,3,3,0,0,PolicySalience=3[考核]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
144,2007,1,10,909,1,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
145,2007,3,10,909,1,2,3,1,0,PolicySalience=2[优化]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=1[新闻]; DataAccess=0; MT=10; MY=1; MF9=909
146,2007,1,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
147,2007,3,40,901,3,3,3,0,0,PolicySalience=3[规定]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
148,2007,2,10,909,1,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
149,2007,3,20,901,2,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
150,2008,3,10,909,1,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
151,2008,3,20,901,2,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
152,2008,2,20,904,3,2,3,3,0,PolicySalience=2[模式]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
153,2008,2,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
154,2008,2,10,909,1,2,3,0,1,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=1[法理]; MT=10; MY=1; MF9=909
